user_nicename	display_name first_name	last_name	nickname	user_url	description	user_avatar	oa_social_login_user_picture	avatar	avatar_url
b-layer-redaction-mesorah		'B'	Masoretic layer 'B'		"The last major addition to the biblical text was a post-exilic (pre-3rd century BCE) source which Dr. Tzemaḥ Yoreh refers to as the ""Bridger"" or simply, 'B.' B supplements earlier layers of text with genealogies and popular myths, providing narrative bridges between distant story cycles. B's narrative additions often share a fantastic element rarely found in Biblical narrative, and are most likely later additions to their respective Pentateuchal frameworks."				
e-kernel-mesorah		'E'	e-kernel.mesorah		The textual source called 'E' is the earliest of all literary sources in the Torah, the kernel from which all other narratives expanded upon. E was composed in the mid- to late eighth century BCE, toward the end of the heyday of the northern Ephraimite Kingdom, one of the two kingdoms that occupied Biblical Israel. The Kingdom of Ephraim was the larger and more urban of the two, and had its capital in Samaria, the city after which the Samaritans are named. To its south lay the smaller, but better-known Kingdom of Judah, whose capital city was Jerusalem. It seems likely that E was composed during this period because it marked the first literary flowering in ancient Israel. We know this based on the books of Amos and Hosea, composed at about that time, and from a wealth of inscriptions that we can confidently date to that period. The book of E, so called because it uses Elohim as its exclusive name for the deity of the Pentateuch, is composed of five story cycles focusing on five early Israelite heroes: Avraham, Yaakov, Yosef, Moshe, and Bilaam. The stories of Avraham and Bilaam are placed at the beginning and end of the Elohistic document, respectively, so that the two men can serve as models for how one should fear the remote and awesome God of the Elohistic source. The Yaakov, Yosef, and Moshe cycles, which comprise the bulk of the E narrative, chronicle Israel’s metamorphisis from a family into a people.				
h-layer-redaction-mesorah		'H'	Masoretic layer 'H'		'H,' or the Holiness Code, was first recognized as a short body of Kohanite legal texts beginning in Leviticus 19. Israel Knohl, however, argues in his book, <em>The Sanctuary of Silence</em>, for a much more extensive 'H' source placed chronologically after 'P.' This 'H' layer popularized Kohanite law for the masses after the Temple was destroyed, and functioned as an intermediary between Kohanite lists and laws and the surrounding narrative. 'H' mainly features in Exodus-Joshua, and is confined in the Book of Genesis to just a few verses in Parashat Toldot.				
j-layer-redaction-mesorah		'J'	Masoretic layer 'J'		Composed in the late eighth or early seventh century BCE in the southern Kingdom of Judah, 'J' is one of the primary sources of the Masoretic text of the the Hebrew Bible, The J source was responsible for the first major metamorphosis of the oldest recognized kernel of the Biblical narrative (known as the E source). By combining the book of E, the Book of the Covenant (a law code found in Exodus 21–24), and the northern book of Judges (predecessor to the canonical book of Judges), and supplementing them with J's own text, J composed a cohesive historical work which chronicles the events from the creation of the world to the crowning of King David in nine story cycles, focusing on the Israelite line. J’s editorial style is highly invasive. In adding their own voice to that of their predecessor E, J often overwhelms the reader with their point of view to the extent that E’s original narrative threads are no longer apparent.				
p-layer-redaction-mesorah		'P'	Masoretic layer 'P'		"'P,' also known as the ""Priestly"" source, is one of the primary sources of the Masoretic text of the Torah in the Hebrew Bible. According to the Supplementary hypothesis presented by Dr. Tzemaḥ Yoreh, 'P' supplements the earlier 'J' narrative with dates, names, and numbers, ""thus 'ordering' and authenticating 'J's account."" This strata dates from the exilic and early post-exilic period, 571–486 BCE.  'P' is the Pentateuchal (and, to a lesser extent, the Prophetical) source most concerned with the priests, the temple, the regulation of sacrifices (e.g. what to bring on which day), and organization in general, including censuses, the division of labor among the various clans of Levites, and the hierarchy among the tribes. 'P' is responsible for the first of the two creation stories in Genesis (a/k/a Genesis 1), for the genealogies of Adam and Shem, the covenants with Noaḥ and Avraham, and a few other stories concerning Avraham, Yitsḥak and Yaakov. Aside from these, the bulk of 'P's texts are found at the end of Exodus (specifically Exodus 25–40), throughout Leviticus, in Numbers 1–10, and in Joshua 13–21. An important feature of 'P' is their copious addition of lists to the text. Many of these lists are genealogies (e.g. Gen. 5, 11, 36), but they can also be lists of stations on Israel’s journey throughout the wilderness (e.g. Num. 33), cities (e.g. Josh. 14–21), and censuses (e.g. Num. 1–3). By inundating the reader with lists, 'P' attempts to enhance the authority of the Bible, ensuring that their version of events is accepted over possible alternatives. 'P' was a hands-off redactor, preferring to make their additions at the beginnings and ends of narratives. Note that their creation list and genealogical lists appear entirely before and after the earlier account of creation and expulsion from Eden, respectively. Both additions alter our understanding of the surrounded material in important ways without being invasive. Only when the matter at hand is of grave importance to 'P,' as in the case of the pillaging of the innocent inhabitants of Shechem, does 'P' delve fully into the text."				
achmed		(unknown)	أحمد‎ (translation)		Achmed (أحمد‎) is a translator living in Jerusalem.				
nader-abdallah		Abdallah (translation)	Nader Abdallah (translation)		Nader Abdallah is a translator living in Jerusalem.				
alter-abelson		Abelson	alter.abelson	https://www.poets.org/poetsorg/poet/alter-abelson	Scholar, poet, and translator Alter Abelson was born in Lithuania on July 17, 1880, and grew up in Manhattan, where he studied John Keats, John Milton, William Shakespeare, and Percy Shelley. In 1903 he received his Master of Hebrew Literature from the Jewish Theological Seminary and in 1920 received a law degree from the New Jersey Law School (now Rutgers). Abelson, who served as a rabbi in synagogues in New York, New Jersey, and Rhode Island, also served as a chaplain for the New York Board of Rabbis from 1947 to his retirement in 1960. Abelson authored four poetry collections, <em>Helen and Shulamith</em> (Whittier Books, 1959), <em>Songs of Labor</em> (Paebar Co. Publishers, 1947), <em>Sonnets of Motherhood</em> (1938), and <em>Sambatyon and Other Poems</em> (The Ariel Publications, 1931), and translated work by the Hebrew poets Judah Halevi and Chaim Nachman Bialik. He died in 1964.				
david-abernethy		Abernethy	david.abernethy		David Abernethy practices law in the Philadelphia area and is a member of the Beth Am Israel community in Penn Valley, Pennsylvania.				
hayyim-shaul-aboud		Aboud	hayyim-shaul.aboud	https://en.wikipedia.org/wiki/Chaim_Shaul_Abud	"Ḥayyim Shaul Aboud (1890–1977) was a poet, rabbi, educator and a philanthropist. He authored <em>Shirayi Zimra Ha-Shalem</em>, containing baqashot of the Jewish community of Aleppo (halab or aram tsoba) as well as songs that he wrote himself. Rabbi Aboud was also the ounding director of ""Nezer Aharon"" school in Jerusalem."				
